Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	1	20140428.113740	same	60	diff	0	29649
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	2	20140428.113812	same	100	diff	0	4232
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	3	20140428.113818	same	60	diff	0	5128
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	4	20140428.113826	diff	60	same	0	7449
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	5	20140428.113835	diff	60	diff	1	8608
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	6	20140428.113846	diff	60	diff	1	11122
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	7	20140428.113859	same	60	same	1	1788
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	8	20140428.113903	diff	60	same	0	1993
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	9	20140428.113907	same	100	diff	0	1994
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	10	20140428.113912	diff	20	diff	1	1975
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	11	20140428.113916	diff	20	same	0	3464
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	12	20140428.113921	diff	60	same	0	3967
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	13	20140428.113927	diff	100	same	0	4021
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	14	20140428.113933	same	100	diff	0	5392
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	15	20140428.113941	same	20	same	1	2333
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	16	20140428.113946	same	60	diff	0	1636
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	17	20140428.113949	diff	100	same	0	3516
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	18	20140428.113955	same	20	same	1	19699
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	19	20140428.114017	diff	20	diff	1	3059
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	20	20140428.114022	same	20	same	1	2369
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	21	20140428.114026	same	20	same	1	6675
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	22	20140428.114035	diff	100	diff	1	2936
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	23	20140428.114040	same	60	diff	0	18663
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	24	20140428.114101	same	20	same	1	3534
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	25	20140428.114107	same	100	same	1	12851
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	26	20140428.114121	diff	20	diff	1	20151
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	27	20140428.114144	same	100	same	1	25477
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	28	20140428.114211	diff	100	same	0	9593
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	29	20140428.114223	diff	20	same	0	1741
AL	91	18	M	PSYC4802-20142	1.0	Block	practice	30	20140428.114227	diff	100	same	0	505
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	31	20140428.114229	same	20	same	1	564
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	32	20140428.114232	same	100	same	1	2421
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	33	20140428.114237	diff	20	same	0	3786
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	34	20140428.114242	diff	20	same	0	5163
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	35	20140428.114250	same	60	same	1	212
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	36	20140428.114252	same	100	same	1	7513
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	37	20140428.114302	diff	100	same	0	3980
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	38	20140428.114308	same	60	diff	0	18915
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	39	20140428.114329	same	20	same	1	5555
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	40	20140428.114336	diff	60	diff	1	5485
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	41	20140428.114344	same	60	same	1	7747
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	42	20140428.114354	diff	60	same	0	11720
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	43	20140428.114408	same	100	same	1	9159
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	44	20140428.114419	same	100	same	1	17807
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	45	20140428.114439	same	60	same	1	7090
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	46	20140428.114448	same	60	same	1	12083
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	47	20140428.114502	diff	60	same	0	9686
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	48	20140428.114514	diff	60	same	0	6206
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	49	20140428.114523	same	100	diff	0	7073
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	50	20140428.114532	same	20	diff	0	229
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	51	20140428.114538	same	60	same	1	26561
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	52	20140428.114606	diff	20	diff	1	28794
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	53	20140428.114637	same	20	same	1	3417
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	54	20140428.114643	same	60	same	1	9610
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	55	20140428.114654	same	100	same	1	4917
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	56	20140428.114701	diff	60	same	0	6294
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	57	20140428.114710	same	100	same	1	763
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	58	20140428.114712	same	60	diff	0	7489
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	59	20140428.114722	diff	100	diff	1	8004
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	60	20140428.114732	same	60	same	1	6827
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	61	20140428.114741	same	20	same	1	3880
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	62	20140428.114747	diff	100	diff	1	8134
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	63	20140428.114757	diff	60	diff	1	4202
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	64	20140428.114803	same	100	same	1	9453
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	65	20140428.114815	diff	60	diff	1	7817
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	66	20140428.114825	same	20	same	1	2684
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	67	20140428.114829	same	20	same	1	3921
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	68	20140428.114835	diff	60	diff	1	7121
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	69	20140428.114845	diff	60	diff	1	4929
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	70	20140428.114852	same	100	same	1	6739
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	71	20140428.114900	diff	100	diff	1	15100
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	72	20140428.114917	diff	20	same	0	6757
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	73	20140428.114926	same	20	same	1	1964
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	74	20140428.114930	same	20	same	1	1038
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	75	20140428.114934	same	100	same	1	622
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	76	20140428.114936	diff	60	same	0	6206
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	77	20140428.114944	diff	60	diff	1	4278
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	78	20140428.114951	same	100	same	1	7677
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	79	20140428.115001	diff	100	diff	1	10132
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	80	20140428.115013	diff	60	diff	1	8690
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	81	20140428.115024	diff	20	diff	1	4641
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	82	20140428.115030	diff	100	same	0	5397
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	83	20140428.115038	same	60	diff	0	6405
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	84	20140428.115046	same	20	same	1	2567
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	85	20140428.115051	diff	100	same	0	786
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	86	20140428.115054	diff	60	diff	1	2854
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	87	20140428.115059	diff	60	diff	1	1395
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	88	20140428.115102	diff	100	diff	1	2761
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	89	20140428.115107	same	100	same	1	728
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	90	20140428.115110	same	100	diff	0	3335
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	91	20140428.115115	diff	20	diff	1	312
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	92	20140428.115118	same	60	same	1	4501
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	93	20140428.115124	diff	100	diff	1	9235
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	94	20140428.115136	same	100	multi	-2	3347
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	95	20140428.115141	diff	20	same	0	7302
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	96	20140428.115151	same	20	same	1	4332
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	97	20140428.115157	diff	60	diff	1	2363
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	98	20140428.115202	diff	100	same	0	9809
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	99	20140428.115213	diff	20	same	0	6885
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	100	20140428.115222	same	60	same	1	335
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	101	20140428.115227	same	100	same	1	5895
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	102	20140428.115235	diff	100	same	0	1706
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	103	20140428.115239	diff	60	diff	1	4085
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	104	20140428.115245	diff	20	diff	1	4560
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	105	20140428.115252	same	60	same	1	14075
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	106	20140428.115308	diff	20	same	0	7460
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	107	20140428.115317	same	20	same	1	5105
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	108	20140428.115324	same	20	same	1	2802
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	109	20140428.115329	same	60	same	1	2432
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	110	20140428.115334	same	20	same	1	2503
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	111	20140428.115339	diff	100	diff	1	1817
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	112	20140428.115342	diff	20	diff	1	1437
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	113	20140428.115346	same	20	same	1	229
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	114	20140428.115348	same	100	same	1	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	115	20140428.115350	diff	20	diff	1	3523
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	116	20140428.115356	same	60	diff	0	429
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	117	20140428.115358	same	100	diff	0	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	118	20140428.115400	diff	100	diff	1	423
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	119	20140428.115403	diff	20	same	0	1466
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	120	20140428.115406	same	20	diff	0	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	121	20140428.115409	same	60	diff	0	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	122	20140428.115411	same	20	diff	0	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	123	20140428.115413	diff	20	diff	1	986
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	124	20140428.115416	diff	20	same	0	4888
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	125	20140428.115423	diff	20	same	0	19768
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	126	20140428.115445	diff	100	same	0	1501
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	127	20140428.115449	diff	20	same	0	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	128	20140428.115450	same	20	same	1	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	129	20140428.115452	diff	20	same	0	10893
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	130	20140428.115505	diff	100	diff	1	3534
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	131	20140428.115511	diff	60	diff	1	5198
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	132	20140428.115518	diff	100	same	0	8415
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	133	20140428.115529	same	60	same	1	6845
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	134	20140428.115538	same	60	same	1	8597
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	135	20140428.115548	diff	100	diff	1	5802
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	136	20140428.115556	diff	60	diff	1	6587
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	137	20140428.115605	same	100	same	1	17332
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	138	20140428.115624	diff	60	same	0	8819
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	139	20140428.115635	same	100	same	1	9106
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	140	20140428.115646	diff	100	same	0	3347
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	141	20140428.115651	diff	20	same	0	4015
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	142	20140428.115657	diff	100	same	0	236
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	143	20140428.115659	diff	100	same	0	171
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	144	20140428.115702	same	20	same	1	1
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	145	20140428.115704	diff	60	diff	1	7770
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	146	20140428.115713	same	60	multi	-2	37536
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	147	20140428.115753	same	100	same	1	10770
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	148	20140428.115806	diff	20	same	0	2374
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	149	20140428.115810	same	60	diff	0	359
AL	91	18	M	PSYC4802-20142	1.0	Block	exp	150	20140428.115812	same	20	diff	0	1
