Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
107	20	F	PSYC4802-20134	0.98	Block	practice	1	20131028.111808	diff	20	diff	1	14532
107	20	F	PSYC4802-20134	0.98	Block	practice	2	20131028.111826	diff	20	diff	1	14497
107	20	F	PSYC4802-20134	0.98	Block	practice	3	20131028.111842	same	100	same	1	5760
107	20	F	PSYC4802-20134	0.98	Block	practice	4	20131028.111850	diff	60	diff	1	4975
107	20	F	PSYC4802-20134	0.98	Block	practice	5	20131028.111857	diff	20	diff	1	7735
107	20	F	PSYC4802-20134	0.98	Block	practice	6	20131028.111907	diff	60	diff	1	1870
107	20	F	PSYC4802-20134	0.98	Block	practice	7	20131028.111911	same	100	same	1	2983
107	20	F	PSYC4802-20134	0.98	Block	practice	8	20131028.111916	diff	100	diff	1	3223
107	20	F	PSYC4802-20134	0.98	Block	practice	9	20131028.111921	diff	100	diff	1	3522
107	20	F	PSYC4802-20134	0.98	Block	practice	10	20131028.111927	same	20	same	1	1489
107	20	F	PSYC4802-20134	0.98	Block	practice	11	20131028.111930	diff	60	diff	1	1776
107	20	F	PSYC4802-20134	0.98	Block	practice	12	20131028.111934	same	60	same	1	1249
107	20	F	PSYC4802-20134	0.98	Block	practice	13	20131028.111937	same	100	same	1	2292
107	20	F	PSYC4802-20134	0.98	Block	practice	14	20131028.111942	same	60	same	1	4947
107	20	F	PSYC4802-20134	0.98	Block	practice	15	20131028.111949	diff	100	diff	1	1214
107	20	F	PSYC4802-20134	0.98	Block	practice	16	20131028.111952	same	20	same	1	868
107	20	F	PSYC4802-20134	0.98	Block	practice	17	20131028.111955	diff	60	diff	1	1577
107	20	F	PSYC4802-20134	0.98	Block	practice	18	20131028.111959	same	20	same	1	980
107	20	F	PSYC4802-20134	0.98	Block	practice	19	20131028.112002	diff	20	diff	1	1707
107	20	F	PSYC4802-20134	0.98	Block	practice	20	20131028.112005	diff	20	diff	1	5287
107	20	F	PSYC4802-20134	0.98	Block	practice	21	20131028.112013	same	20	same	1	1026
107	20	F	PSYC4802-20134	0.98	Block	practice	22	20131028.112016	diff	60	same	0	2855
107	20	F	PSYC4802-20134	0.98	Block	practice	23	20131028.112021	diff	100	diff	1	1536
107	20	F	PSYC4802-20134	0.98	Block	practice	24	20131028.112024	same	60	same	1	2626
107	20	F	PSYC4802-20134	0.98	Block	practice	25	20131028.112029	diff	100	diff	1	4213
107	20	F	PSYC4802-20134	0.98	Block	practice	26	20131028.112035	same	100	same	1	1431
107	20	F	PSYC4802-20134	0.98	Block	practice	27	20131028.112039	same	20	same	1	1073
107	20	F	PSYC4802-20134	0.98	Block	practice	28	20131028.112042	same	60	same	1	1384
107	20	F	PSYC4802-20134	0.98	Block	practice	29	20131028.112045	same	100	same	1	1477
107	20	F	PSYC4802-20134	0.98	Block	practice	30	20131028.112049	same	60	same	1	1032
107	20	F	PSYC4802-20134	0.98	Block	exp	31	20131028.112052	same	60	same	1	992
107	20	F	PSYC4802-20134	0.98	Block	exp	32	20131028.112055	diff	100	same	0	1038
107	20	F	PSYC4802-20134	0.98	Block	exp	33	20131028.112058	same	100	diff	0	1413
107	20	F	PSYC4802-20134	0.98	Block	exp	34	20131028.112101	same	60	same	1	909
107	20	F	PSYC4802-20134	0.98	Block	exp	35	20131028.112104	same	60	same	1	1583
